,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
14,13.951562110949531,90.0,1006.0,87.0,19.43059,-99.17073,2.0,1.0,1.0,2.0,730,1.0,2.0,1125.0,1125.0,2.0,1125.0,,8,35,65,340,23.0,0.0,0.0,4.83,4.87,4.83,5.0,5.0,4.83,4.78,11.0,7.0,0.0,0.0,0.18
53,13.951562110949531,90.0,1006.0,87.0,19.43078,-99.17011,2.0,1.0,1.0,2.0,730,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,27,57,332,31.0,0.0,0.0,4.97,4.97,4.94,5.0,5.0,4.97,4.97,11.0,7.0,0.0,0.0,0.25
55,13.951562110949531,90.0,908.0,87.0,19.43068,-99.17007,2.0,1.0,1.0,2.0,730,2.0,2.0,1125.0,1125.0,2.0,1125.0,,18,45,75,350,49.0,9.0,1.0,4.98,4.98,4.92,5.0,5.0,5.0,4.9,11.0,7.0,0.0,0.0,0.46
62,13.951562110949531,90.0,908.0,87.0,19.43052,-99.17003,2.0,1.0,1.0,2.0,730,1.0,2.0,1125.0,1125.0,2.0,1125.0,,24,54,84,356,22.0,3.0,0.0,4.95,5.0,4.95,5.0,5.0,4.95,4.95,11.0,7.0,0.0,0.0,0.25
66,13.515964464350475,100.0,3162.0,86.0,19.41108,-99.17634,3.0,1.0,2.0,1.0,365,1.0,3.0,365.0,365.0,2.7,365.0,,29,40,69,287,7.0,0.0,0.0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,12.0,3.0,2.0,0.0,0.07
142,13.515964464350475,100.0,2808.0,86.0,19.41346,-99.1775,3.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,1.9,365.0,,0,0,0,16,1.0,0.0,0.0,4.0,5.0,5.0,5.0,4.8,5.0,4.0,12.0,3.0,2.0,0.0,0.02
186,17.00074563714292,100.0,2900.0,94.0,19.34735,-99.19016,2.0,1.0,1.0,1.0,90,1.0,1.0,90.0,90.0,1.0,90.0,,30,60,90,365,25.0,2.0,0.0,4.96,5.0,5.0,5.0,4.96,4.92,4.92,7.0,1.0,4.0,0.0,0.22
205,17.00074563714292,100.0,1800.0,94.0,19.34723,-99.19396,2.0,1.0,1.0,1.0,90,1.0,1.0,90.0,90.0,1.0,90.0,,30,60,83,355,44.0,10.0,1.0,4.84,4.79,4.95,4.88,4.91,4.95,4.84,7.0,1.0,4.0,0.0,0.4
214,19.178733870138196,99.0,908.0,99.0,19.42644,-99.161,4.0,2.0,3.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,0,0,74,4.0,0.0,0.0,4.5,5.0,5.0,4.5,5.0,5.0,4.75,9.7,1.7,2.0,0.0,0.08
533,4.804011532369373,95.0,9602.0,66.0,19.42368,-99.17148,2.5,1.3,1.6,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,7.0,0.0,0.0,3.71,3.86,3.86,4.33,3.86,4.9,3.57,19.0,2.0,11.0,2.0,0.08
873,17.00074563714292,98.0,955.0,94.0,19.40033,-99.2,2.0,1.0,1.0,2.0,1125,2.0,2.0,99.0,99.0,2.0,99.0,,22,52,82,357,37.0,1.0,0.0,4.83,4.92,4.92,4.81,4.78,4.97,4.75,25.0,1.7,0.0,0.0,0.44
975,4.804011532369373,95.0,10125.0,66.0,19.42456,-99.17179,2.5,10.0,10.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,0.0,0.0,0.0,4.83,4.92,4.92,4.81,4.78,4.97,4.75,19.0,2.0,11.0,2.0,0.44
980,4.804011532369373,95.0,8622.0,66.0,19.42543,-99.17176,2.5,20.0,20.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.0,2.0,11.0,2.0,0.03
1148,19.614331516737245,100.0,2300.0,100.0,19.35187,-99.16605,4.0,1.0,2.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,368.1,,3,17,43,284,8.0,1.0,0.0,5.0,5.0,5.0,5.0,4.88,5.0,4.88,9.0,0.0,0.0,0.0,0.09
1152,19.614331516737245,100.0,2400.0,100.0,19.35185,-99.16608,5.0,1.0,3.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,322.5,,7,32,58,304,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,0.0,0.0,0.0,0.04
1154,19.614331516737245,100.0,2400.0,100.0,19.35221,-99.16585,3.0,2.0,2.0,1.0,1125,1.0,1.0,1.0,1125.0,1.0,310.2,,6,24,53,305,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,0.0,0.0,0.0,0.02
